Lake Ontario modeled water surface temperatures (Celsius),
(Note: model limits the temperature to 0 or above),
,
Year,Avg
1950,8.675833333
1951,9.1575
1952,9.518333333
1953,10.4125
1954,10.0575
1955,10.01666667
1956,8.491666667
1957,9.140833333
1958,8.689166667
1959,7.981666667
1960,7.991666667
1961,8.293333333
1962,8.268333333
1963,7.886666667
1964,8.571666667
1965,7.933333333
1966,8.855
1967,8.824166667
1968,8.289166667
1969,8.351666667
1970,8.019166667
1971,8.068333333
1972,7.916666667
1973,8.724166667
1974,8.099166667
1975,9.04
1976,8.688333333
1977,7.3175
1978,6.525
1979,7.515833333
1980,7.9575
1981,6.6275
1982,7.533333333
1983,10.32833333
1984,9.075833333
1985,8.941666667
1986,8.174166667
1987,9.6525
1988,9.158333333
1989,8.848333333
1990,8.813333333
1991,9.9925
1992,9.176666667
1993,8.6675
1994,7.920833333
1995,9.755
1996,8.0625
1997,7.679166667
1998,9.85
1999,10.24333333
2000,9.806666667
2001,9.595
2002,10.40083333
2003,7.44
2004,8.261666667
2005,9.273333333
2006,9.755
2007,8.94
2008,8.734166667
2009,8.085833333
2010,9.970833333
2011,9.78
